:ID,description,measure,:LABEL
OUTCOME:NCT03554408:0,"Adverse events include signs, symptoms and laboratory abnormalities, in addition to local and systemic reactogenicity adverse events.",The number of participants who experience adverse events within 2 weeks after 10-1074-LS intravenous infusions and subcutaneous injections.,Outcome
OUTCOME:NCT03554408:1,"Adverse events include signs, symptoms and laboratory abnormalities, in addition to local and systemic reactogenicity adverse events.",The number of participants who experience adverse events within 2 weeks after 10-1074-LS and 3BNC117-LS intravenous infusions and subcutaneous injections.,Outcome
OUTCOME:NCT03554408:2,"Elimination half-life (t1/2) of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups.","Elimination half-life (t1/2) of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups.",Outcome
OUTCOME:NCT03554408:3,"The clearance (CL) of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups.","The clearance (CL) of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups.",Outcome
OUTCOME:NCT03554408:4,"The volume of distribution (Vz) of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups","The volume of distribution (Vz) of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups",Outcome
OUTCOME:NCT03554408:5,"Area under the curve of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups.","Area under the curve of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups.",Outcome
OUTCOME:NCT03554408:6,"Decay curve of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups.","Decay curve of 10-1074-LS, when administered alone and in combination with 3BNC117-LS in all study groups.",Outcome
OUTCOME:NCT02791308:0,"Percentage of subjects in each treatment group with treatment success, defined as a grade of clear or almost clear (a score of 0 or 1 on the IGA) within all treatment areas at the end of treatment on Visit 4/Day 15",Percentage of Subjects With Treatment Success at Visit 4/Day 15,Outcome
OUTCOME:NCT03924908:0,"Visual Analogical Scale (VAS) from 0 to 10. This is a subjective linear scale. No pain = 0, maximum pain = 10.",Change in pain perception: Visual Analogical Scale (VAS),Outcome
OUTCOME:NCT03924908:1,"Visual Analogical Scale (VAS) from 0 to 10. This is a subjective linear scale. No anxiety = 0, maximum anxiety = 10.",Change in anxiety: Visual Analogical Scale (VAS),Outcome
OUTCOME:NCT03924908:2,"Visual Analogical Scale (VAS) from 0 to 10. This is a subjective linear scale. No fatigue = 0, maximum fatigue = 10.",Change in fatigue,Outcome
OUTCOME:NCT03924908:3,"Visual Analogical Scale (VAS) from 0 to 10. This is a subjective linear scale. No relaxation = 0, maximum relaxation = 10.",Change in relaxation level,Outcome
OUTCOME:NCT04096508:0,"A 10-point scale was used to evaluate the patients' pain (0 least, 10 most). All the discomforts such as abdominal pain, distension and the like were all recorded.",Pain score,Outcome
OUTCOME:NCT01022008:0,,Improvement of respiratory function,Outcome
OUTCOME:NCT04340908:0,Echocardiography is used to assess cardiac function.,Difference in mean EF% between the treatment and control study arms,Outcome
OUTCOME:NCT04340908:1,NT-proBNP is used to assess cardiac function.,Difference in NTproBNP between the treatment and control study arms,Outcome
OUTCOME:NCT02520908:0,,Progression-Free Survival (PFS),Outcome
OUTCOME:NCT07147608:0,"A score is based on the time spent at each intensity level of physical activity, using the correlation between cadence and METs extrapolated from the literature (Tudor-Locke et al, 2020). The primary outcome measure is the correlation coefficient between the amount of physical activity estimated by the SAPHIR score and that estimated from the Activ-PAL data.",correlation between SAPHIR score completed at inclusion and the level of physical activity estimated from measurement data collected using the Activ-PAL® activity monitor,Outcome
OUTCOME:NCT05336708:0,"It is a Likert-type scale consisting of a total of nine items, each item being evaluated between 1 and 7 (1=I totally disagree, 7=I totally agree). The fatigue score is obtained by dividing the total score obtained from the scale by the number of scale items. The score that can be obtained from the scale varies between 9 and 63. A high score indicates an increased level of fatigue.",Fatigue evaluated using the Fatigue Severity Scale,Outcome
OUTCOME:NCT01548508:0,,VO2 peak,Outcome
OUTCOME:NCT06193408:0,Change in stool output volume (ml/hour) over a treatment period measured and plotted as total stool output during 12-hour stool collection at every 12 hours for 72 hours,Change in stool output volume during treatment period.,Outcome
OUTCOME:NCT02098408:0,BACS will be used to assess changes in cognition at the cessation of treatment at (6 months) and 12 months post baseline.,Brief Assessment of Cognition in Schizophrenia (BACS),Outcome
OUTCOME:NCT05873608:0,"Will use descriptive statistics to summarize the demographic characteristics and responses to the interviews. Will audio-record and transcribe the provider conversation for immunotherapy and the pre- and post-provider conversation interviews. The transcripts will be qualitatively coded using multi-level semantic analysis in MAXQDA. Pre-determined codes will include a list of potential benefits of immunotherapy, any patient estimation of the potential for benefit, any side effect and risk mentioned and any estimation of its frequency. Because there is no data on the frequency of misestimations due to media hype, no quantitative analysis is planned.",Misestimations about the risks and benefits of immunotherapy resulting from media hype or other sources,Outcome
OUTCOME:NCT05873608:1,"During the observed conversation, the ethics team member will note any technical term or metaphor used. The patient will then be asked if each term and metaphor is understood. The open ended questions about misunderstanding, technical terms and metaphors used, and patients' understanding of each term will be qualitatively coded using multi-level semantic analysis in MAXQDA. Frequency of misunderstood terms and misunderstood metaphors will be calculated.",Qualitatively describe patient reported misunderstandings,Outcome
OUTCOME:NCT05873608:2,The frequencies of each item of information identified by providers and patients will be determined. A combined list of the most frequently mentioned items of information to be included and a discussion of immunotherapy will be compiled.,Provider and patient preferences for information to be communicated about immunotherapy,Outcome
OUTCOME:NCT05873608:3,"Before-video and after-video correct definition rates will be calculated, along with 95% exact binomial confidence intervals using the Clopper-Pearson method. Before and after paired rates will be compared using an exact McNemar's test. Subset analyses will be performed for gender, age group (=\< 55, \> 55), and education level (high school graduate or less, some college or more).",Correct definition rates (pre- versus post-video),Outcome
OUTCOME:NCT02544308:0,Progression free survival rate and will be analysed using Kaplan-Meier survival analysis. PSF time will be measured from date of randomisation until progression or death.,Progression-free survival (progression defined as development of myeloma or a new plasmacytoma outside the radiotherapy field),Outcome
OUTCOME:NCT04561908:0,Number of participants with successful transseptal left atrial access,Procedural Success,Outcome
OUTCOME:NCT04561908:1,Pericardial effusion,Related-complications,Outcome
