:ID,phase,study_type,title,:LABEL
NCT04473235,['NA'],INTERVENTIONAL,Better Memory With Literacy Acquisition Later in Life,Study
NCT02004535,['NA'],INTERVENTIONAL,Clinical Study of Cochlear Implants in Adults With Asymmetrical Hearing Loss,Study
NCT04747535,['NA'],INTERVENTIONAL,Continuous Positive Airway Pressure After Abdominal Surgery,Study
NCT06029335,[],OBSERVATIONAL,Clinical Risk Assessment of Cognitive Function in Systemic Autoimmune Diseases,Study
NCT01813435,['PHASE3'],INTERVENTIONAL,GLOBAL LEADERS: A Clinical Study Comparing Two Forms of Anti-platelet Therapy After Stent Implantation,Study
NCT03352635,[],OBSERVATIONAL,Mechanisms of Ethnic/Racial Differences in Lung Cancer Due to Cigarette Smoking Clinical and Biomarkers Core,Study
NCT05452135,[],OBSERVATIONAL,Cognitive - Motor Dual Task and Swallowing,Study
NCT02345135,['NA'],INTERVENTIONAL,Susceptibility to Infections in Ataxia Telangiectasia,Study
NCT06758635,['NA'],INTERVENTIONAL,Online Versions of Single Session Virtual Reality (VR) Therapy and EMDR Flash Therapy on the Treatment of Flying Fear,Study
NCT06031935,['NA'],INTERVENTIONAL,Yoga for Adolescent Knee Pain,Study
NCT06636435,['PHASE1'],INTERVENTIONAL,"A Phase I, First in Human Study of CBA-1205, Anti-DLK1 Monoclonal Antibody in Patients With Advanced Solid Tumors, Hepatocellular Carcinoma (HCC), Melanoma, and Pediatric Cancer",Study
NCT01825135,['NA'],INTERVENTIONAL,Electrical Stimulation to Strengthen Muscles in the Lower Legs in Patients Requiring Prolonged Mechanical Ventilation,Study
NCT05706935,[],OBSERVATIONAL,MeMed BV® Test Evaluation in Adult Emergency Department Patients,Study
NCT01881035,['NA'],INTERVENTIONAL,Treatment of Resistant Hypertension by Renal Sympathetic Denervation in Patients Undergoing Dialysis Therapy,Study
NCT00149435,[],OBSERVATIONAL,Cardiovascular Health Study (CHS) Events Follow-up Study,Study
NCT05021835,['PHASE3'],INTERVENTIONAL,"ZEUS - A Research Study to Look at How Ziltivekimab Works Compared to Placebo in People With Cardiovascular Disease, Chronic Kidney Disease and Inflammation",Study
NCT06595108,['NA'],INTERVENTIONAL,Atezolizumab and BEvacizumab With STereotactic Body Radiotherapy for Advanced Hepatocellular Carcinoma,Study
NCT05672108,['PHASE2'],INTERVENTIONAL,Phase II Trial of Lung Chemoemobolization,Study
NCT03112408,['NA'],INTERVENTIONAL,Eye Movements and Visuo-spatial Perception,Study
NCT03554408,['PHASE1'],INTERVENTIONAL,First-in-human Study of 10-1074-LS Alone and in Combination With 3BNC117-LS,Study
NCT02791308,['PHASE3'],INTERVENTIONAL,Study of Equivalence of Generic Pimecrolimus Cream 1% and Elidel® 1% in Subjects With Mild to Moderate Atopic Dermatitis,Study
NCT03924908,['NA'],INTERVENTIONAL,Impact of Virtual Reality Hypnosis on Pain and Anxiety During Dressings Change in Burn Patients,Study
NCT04096508,['NA'],INTERVENTIONAL,Role of Music Listening in Gastrointestinal Endoscopy,Study
NCT00440908,[],OBSERVATIONAL,Inflammation and Nutritional Parameters in Hemodialysis Patients Using Reprocessed Dialyzers,Study
NCT01022008,['NA'],INTERVENTIONAL,Assessment Study of Faciocraniosynostosis by Craniofacial Osteodistraction,Study
NCT04340908,['PHASE4'],INTERVENTIONAL,Effects of SGLT2 Inhibitor on Type 2 Diabetic Patients Undergoing Cardiac Surgery,Study
NCT02520908,[],OBSERVATIONAL,Benefit of Allogeneic Haematopoietic Stem Cells in Cutaneous T-cell Lymphomas Epidermotropic With Advanced Stage and Poor Prognosis,Study
NCT07147608,[],OBSERVATIONAL,SAPHIR2 : Simplification of PHysical Activity Assessment by Rapid Interrogation,Study
NCT05336708,['NA'],INTERVENTIONAL,The Effect of Acupressure on Fatigue,Study
NCT01548508,['NA'],INTERVENTIONAL,Evaluation of Functionnal ElectromyoStimulation on Leg In Advanced Chronic Heart Failure After Hospitalisation for Acute Decompensation,Study
NCT06193408,['PHASE2'],INTERVENTIONAL,Assessment of a Novel Fixed-dose Combination (FDC) Drug VR-AD-1005 for the Treatment of Acute Watery Diarrhea in Cholera,Study
NCT02098408,['NA'],INTERVENTIONAL,Effects of Neurocognitive and Social Cognitive Remediation in Patients at Ultra-High Risk of Psychosis,Study
NCT05873608,['NA'],INTERVENTIONAL,Communication Issues in Patient and Provider Discussions of Immunotherapy,Study
NCT02544308,['PHASE3'],INTERVENTIONAL,Trial of Immunomodulatory Therapy in High Risk Solitary Bone Plasmacytoma,Study
NCT04561908,['NA'],INTERVENTIONAL,Transcatheter Microguidewire Drilling for Transseptal Left Atrial Access,Study
